"WV-OH",142
"MD-WV",142
"NH-VT",145
"ND-MN",230
"TN-KY",239
"ND",247
"SD",295
"WY",320
"VT",388
"WV",396
"ME",505
"NE",560
"IA-IL",565
"MT",574
"AK",746
"NH",763
"MN",784
"KY",1166
"ID",1317
"MO",1333
"MS",1360
"AR",1444
"IA",1786
"MA",1876
"NJ",2236
"MO-IL",2316
"KS",2400
"IL",2593
"HI",2729
"OR",2965
"MO-KS",2994
"VA",3153
"AL",3227
"LA",3889
"TN",3919
"SC",3994
"IN",4159
"OK",4316
"WI",4589
"MN-WI",5363
"MD",5574
"PA",6402
"NY",7102
"OH",7257
"UT",7753
"MI",9536
"NC",10493
"CT",12460
"NV",12998
"NM",15263
"CO",15454
"WA",16815
"GA",17922
"AZ",25548
"FL",70566
"PR",78703
"TX",98363
"CA",313680
"WV-VA",1
"TN-VA",101
"KY-IN",1034
"VA-WV",112
"NE-IA",1125
"AR-MO",1182
"PA-NJ-DE-MD",13178
"WY-ID",137
"TN-MS-AR",1422
"KY-IL",15
"IA-IL-MO",15
"PA-NJ",1595
"MA-CT",1687
"IA-NE-SD",171
"MA-NH",17826
"IL-MO",18
"NY-NJ-PA",184307
"OH-KY-IN",1901
"UT-ID",197
"WI-MI",20
"DE",233
"IN-MI",250
"WI-MN",26
"MS-LA",28
"MI-WI",3
"MD-DE",317
"TN-GA",320
"DC-VA-MD-WV",32556
"ID-WA",34
"VA-NC",3503
"AR-OK",401
"SC-NC",417
"IL-IN-WI",42035
"IN-KY",43
"AL-GA",44
"OR-ID",45
"RI-MA",4721
"GA-SC",507
"GA-AL",533
"NC-SC",5373
"OR-WA",5576
"OH-PA",61
"TX-AR",65
"WV-KY-OH",75
